年度,カテゴリ,薬効分類,薬効分類名,グループ,個数（薬剤種類数）,数量合計
FY2023,注射_外来院外,424,抗腫瘍性植物成分製剤,2019年存在,0,0
FY2023,注射_外来院外,424,抗腫瘍性植物成分製剤,2019年非存在（新規）,3,0
FY2023,注射_外来院外,429,その他の腫瘍用薬,2019年存在,3,0
FY2023,注射_外来院外,429,その他の腫瘍用薬,2019年非存在（新規）,8,0
FY2024,内服_外来院内,421,アルキル化剤,2019年存在,9,413398.69
FY2024,内服_外来院内,421,アルキル化剤,2019年非存在（新規）,0,0
FY2024,内服_外来院内,422,代謝拮抗剤,2019年存在,34,15896411.63
FY2024,内服_外来院内,422,代謝拮抗剤,2019年非存在（新規）,4,1904
FY2024,内服_外来院内,423,抗腫瘍性抗生物質製剤,2019年存在,0,0
FY2024,内服_外来院内,423,抗腫瘍性抗生物質製剤,2019年非存在（新規）,0,0
FY2024,内服_外来院内,424,抗腫瘍性植物成分製剤,2019年存在,4,17350
FY2024,内服_外来院内,424,抗腫瘍性植物成分製剤,2019年非存在（新規）,0,0
FY2024,内服_外来院内,429,その他の腫瘍用薬,2019年存在,89,50553165.61
FY2024,内服_外来院内,429,その他の腫瘍用薬,2019年非存在（新規）,179,10661001.64
FY2024,内服_外来院外,421,アルキル化剤,2019年存在,9,1942817.3
FY2024,内服_外来院外,421,アルキル化剤,2019年非存在（新規）,0,0
FY2024,内服_外来院外,422,代謝拮抗剤,2019年存在,38,91271875.84
FY2024,内服_外来院外,422,代謝拮抗剤,2019年非存在（新規）,8,860301
FY2024,内服_外来院外,423,抗腫瘍性抗生物質製剤,2019年存在,0,0
FY2024,内服_外来院外,423,抗腫瘍性抗生物質製剤,2019年非存在（新規）,0,0
FY2024,内服_外来院外,424,抗腫瘍性植物成分製剤,2019年存在,4,107477
FY2024,内服_外来院外,424,抗腫瘍性植物成分製剤,2019年非存在（新規）,0,0
FY2024,内服_外来院外,429,その他の腫瘍用薬,2019年存在,91,284294121
FY2024,内服_外来院外,429,その他の腫瘍用薬,2019年非存在（新規）,174,53701187
FY2024,注射_外来院内,421,アルキル化剤,2019年存在,12,401238.0602
FY2024,注射_外来院内,421,アルキル化剤,2019年非存在（新規）,8,58487.254
FY2024,注射_外来院内,422,代謝拮抗剤,2019年存在,32,3684380.807
FY2024,注射_外来院内,422,代謝拮抗剤,2019年非存在（新規）,28,173268.263
FY2024,注射_外来院内,423,抗腫瘍性抗生物質製剤,2019年存在,32,663954.536
FY2024,注射_外来院内,423,抗腫瘍性抗生物質製剤,2019年非存在（新規）,0,0
FY2024,注射_外来院内,424,抗腫瘍性植物成分製剤,2019年存在,63,2948130.987
FY2024,注射_外来院内,424,抗腫瘍性植物成分製剤,2019年非存在（新規）,13,217051.3722
FY2024,注射_外来院内,429,その他の腫瘍用薬,2019年存在,90,6115977.155
FY2024,注射_外来院内,429,その他の腫瘍用薬,2019年非存在（新規）,106,2134661.05
